date,open,high,low,close,volume,name
01-01-2019,1284.7,1284.75,1282.85,1283.35,-,XAUUSD
02-01-2019,1349.5,1349.5,1349.5,1349.5,0.10K,XAUUSD
03-01-2019,1359.8,1359.8,1359.8,1359.8,0.01K,XAUUSD
04-01-2019,1351.8,1351.8,1351.8,1351,0.00K,XAUUSD
07-01-2019,1355.2,1355.2,1355.2,1355.2,0.01K,XAUUSD
08-01-2019,1351.1,1351.1,1351.1,1351.1,0.00K,XAUUSD
09-01-2019,1357.3,1357.3,1357.3,1357.3,0.10K,XAUUSD
10-01-2019,1353,1353,1353,1353,0.55K,XAUUSD
11-01-2019,1355.4,1355.4,1355.4,1355.4,0.05K,XAUUSD
14-01-2019,1357.2,1357.2,1357.2,1357.2,0.40K,XAUUSD
15-01-2019,1353.7,1353.7,1353.7,1353.7,0.01K,XAUUSD
16-01-2019,1359.3,1359.3,1359.3,1359.3,0.00K,XAUUSD
17-01-2019,1357.9,1357.9,1357.9,1357.9,0.03K,XAUUSD
18-01-2019,1348.1,1348.1,1348.1,1348.1,0.00K,XAUUSD
20-01-2019,1281.3,1282.7,1280.5,1282.05,-,XAUUSD
21-01-2019,1281.95,1282.95,1276.15,1279.05,-,XAUUSD
22-01-2019,1348.4,1348.4,1348.4,1348.4,0.15K,XAUUSD
23-01-2019,1349.3,1349.3,1349.3,1349.3,0.02K,XAUUSD
24-01-2019,1344.9,1344.9,1344.9,1344.9,0.05K,XAUUSD
25-01-2019,1360,1360,1360,1364,0.01K,XAUUSD
28-01-2019,1369.8,1369.8,1369.8,1369.8,0.00K,XAUUSD
29-01-2019,1375.6,1375.6,1375.6,1375.6,0.20K,XAUUSD
30-01-2019,1377.6,1377.6,1377.6,1375.9,0.06K,XAUUSD
31-01-2019,1384,1384,1384,1384,0.08K,XAUUSD
01-02-2019,1382.6,1382.6,1382.6,1381.1,0.01K,XAUUSD
04-02-2019,1378.3,1378.3,1378.3,1378.3,0.00K,XAUUSD
05-02-2019,1378.6,1378.6,1378.6,1378.6,0.04K,XAUUSD
06-02-2019,1373.8,1373.8,1373.8,1373.8,0.00K,XAUUSD
07-02-2019,1373.6,1373.6,1373.6,1373.6,0.00K,XAUUSD
08-02-2019,1377.8,1377.8,1377.8,1377.8,0.05K,XAUUSD
11-02-2019,1371.2,1371.2,1371.2,1371.2,0.03K,XAUUSD
12-02-2019,1373.2,1373.2,1373.2,1373.2,0.00K,XAUUSD
13-02-2019,1374.6,1374.6,1374.6,1374.6,0.05K,XAUUSD
14-02-2019,1373.2,1373.2,1373.2,1373.2,0.07K,XAUUSD
15-02-2019,1381.2,1381.2,1381.2,1381.2,0.03K,XAUUSD
17-02-2019,1324.65,1324.95,1323.85,1324.25,-,XAUUSD
18-02-2019,1324.35,1330.75,1324.05,1329.55,-,XAUUSD
19-02-2019,1403.9,1403.9,1403.9,1403.9,0.04K,XAUUSD
20-02-2019,1406.7,1406.7,1406.7,1406.7,0.15K,XAUUSD
21-02-2019,1388,1388,1388,1387.2,0.03K,XAUUSD
22-02-2019,1392.5,1392.5,1392.5,1392.5,0.02K,XAUUSD
25-02-2019,1389,1389,1389,1389,0.00K,XAUUSD
26-02-2019,1387.9,1387.9,1387.9,1387.9,0.00K,XAUUSD
27-02-2019,1380.5,1380.5,1380.5,1380.5,0.00K,XAUUSD
28-02-2019,1374,1374,1374,1375.3,0.01K,XAUUSD
01-03-2019,1358.3,1358.3,1358.3,1358.3,0.13K,XAUUSD
04-03-2019,1346.3,1346.3,1346.3,1346.3,0.02K,XAUUSD
05-03-2019,1343.5,1343.5,1343.5,1343.5,0.00K,XAUUSD
06-03-2019,1346.5,1346.5,1346.5,1346.5,0.00K,XAUUSD
07-03-2019,1344.9,1344.9,1344.9,1344.9,0.04K,XAUUSD
08-03-2019,1358.5,1358.5,1358.5,1358.5,0.00K,XAUUSD
11-03-2019,1350,1350,1350,1350,0.00K,XAUUSD
12-03-2019,1356.6,1356.6,1356.6,1356.6,0.08K,XAUUSD
13-03-2019,1368.1,1368.1,1368.1,1368.1,0.02K,XAUUSD
14-03-2019,1352.9,1352.9,1352.9,1352.9,0.23K,XAUUSD
15-03-2019,1360.6,1360.6,1360.6,1360.6,0.01K,XAUUSD
18-03-2019,1359.4,1359.4,1359.4,1359.4,0.01K,XAUUSD
19-03-2019,1364.7,1364.7,1364.7,1364.7,0.00K,XAUUSD
20-03-2019,1359.5,1359.5,1359.5,1359.5,0.02K,XAUUSD
21-03-2019,1364.5,1364.5,1364.5,1364.5,0.12K,XAUUSD
22-03-2019,1368.2,1368.2,1368.2,1369.3,0.03K,XAUUSD
25-03-2019,1378.1,1378.1,1378.1,1378.1,0.10K,XAUUSD
26-03-2019,1369.3,1369.3,1369.3,1369.3,0.01K,XAUUSD
27-03-2019,1363.8,1363.8,1363.8,1363.8,0.04K,XAUUSD
28-03-2019,1348,1348,1342.2,1342.4,0.01K,XAUUSD
29-03-2019,1354.1,1354.1,1354.1,1346,0.00K,XAUUSD
01-04-2019,1342.7,1342.7,1342.7,1342.7,0.03K,XAUUSD
02-04-2019,1340.8,1343.2,1340.8,1343.9,0.00K,XAUUSD
03-04-2019,1344,1344,1344,1344,0.05K,XAUUSD
04-04-2019,1343.5,1343.5,1343.5,1343.5,0.04K,XAUUSD
05-04-2019,1345.2,1345.2,1345.2,1345.2,0.05K,XAUUSD
08-04-2019,1351.9,1351.9,1351.9,1351.9,0.00K,XAUUSD
09-04-2019,1358.4,1358.4,1358.4,1358.4,0.00K,XAUUSD
10-04-2019,1363.9,1363.9,1363.9,1363.9,0.08K,XAUUSD
11-04-2019,1356.6,1356.6,1356.6,1343.4,0.00K,XAUUSD
12-04-2019,1346.3,1346.3,1346.3,1346.3,0.23K,XAUUSD
15-04-2019,1342.4,1342.4,1342.4,1342.4,0.02K,XAUUSD
